Year,Artist,Title,Genre,Streams(Millions)
,Sam Feldt,Call On Me,Tropical House,44
,Lucas & Steve,Source,Festival Progressive House,44
,Krewella,New World,Trap,44
,Robin Schulz,Giant,Tropical House,44
,Bassjackers,Fireflies,Future Bounce,44
,Dada Life,Born To Rage,Festival Progressive House,44
,Scooter,4 AM,Festival Progressive House,44
,Daft Punk,Too Long,Nu-Disco,44
,SHY FX,Roll The Dice,Liquid Drum & Bass,43
2019,Polocorp,La Nina de Volcán,,43
2021,Toneshifterz,Paradise,Rawphoric,43
,AronChupa,The Woodchuck Song,Future House,43
,twocolors,Bloodstream,-,43
,Alok,LET'S GET FKD UP,Hyper Techno,43
,JPB,High,Trap,43
,Don Diablo,Children Of A Miracle,Trap,43
,Timmy Trumpet,Therapy,Psytrance,43
,The Chainsmokers,The Reaper,Trap,43
,Kygo,Say Say Say,Tropical House,43
,Dwin,Tokyo,,43
,machineheart,Circles,Trap,43
,Cashmere Cat,Mirror Maru,,43
,Jacob Tillberg,Ghosts,Future House,43
,Don Diablo,Anthem (We Love House Music),Future House,43
,Matoma,Bruised Not Broken,Tropical House,43
,Kris Kross Amsterdam,Loop Neit Weg,-,43
,Sam Feldt,Fade Away,Tropical House,43
,Don Diablo,Children Of A Miracle,Future Bass,43
,Liu,Coastline,Brazilian Bass,43
,Little Big,Skibidi,Tech House,43
,Martin Garrix,Spotless,Big Room House,43
,Dombresky,Soul sacrifice,Funky House,43
,REZZ,Edge,,43
,Big Gigantic,Good Times Roll,Twerk,43
,Herve Pagez,Spicy,Moombahton,43
,Lucas & Steve,Eagle Eyes,,43
,Gorgon City,Nobody,Deep House,43
,Neptunica,Love Is Gone,*Euro-Trance,43
,Dombresky,Soul Sacrifice,Funky House,43
,Blasterjaxx,Hurricane,Vocal Trance,43
,Becky Hill,Last Time,Future House,43
,TheFatRat,MAYDAY,Future Bass,43
,Petit Biscuit,I Leave Again,Melodic House,43
,it's murph,Lost,,43
,Galimatias,Show Me,Chillstep,43
,Robin Schulz,Yellow,,43
,Bloodhound Gang,Uhn Tiss Uhn Tiss Uhn Tiss,Eurodance,43
,FAIS,Know No Better,,43
,Sofi Tukker,Batshit,Future House,43
,ILLENIUM,All That Really Matters,Future Bass,43
,Gorgon City,Nobody,Progressive House,43
,David Guetta,Make It To Heaven,Future Rave,43
,Big Gigantic,Good Times Roll,Glitch Hop ,43
,Slushii,All I Need,Slap House,43
,Little Big,Skibidi,G-House,43
,Robin Schulz,Sun Will Shine,Slap House,43
,Axwell,Nobody Else,Funky House,43
,JADED,Welcome To The People,Tech House,43
1983,Trans-X,Living On Video,Hi-NRG,43
,Yosuf,Anadrol,,43
,SHY FX,Roll The Dice,Jump-Up,43
,Paul Kalkbrenner,Azure,,43
,Josh Butler,I Want You (Forever),,43
,Avicii,Superlove,Festival Progressive House,43
,Steve Aoki,Play It Cool,Future House,43
,Stray Kids,Going Dumb,Slap House,43
,David Guetta,Ocean,Future House,43
,JPB,High,Future Bass,43
,CYRIL,The Sound Of Silence,Slap House,43
,Sonny Fodera,Unconditional ,,42
2019,Friction,Your Love,Dancefloor Drum & Bass,42
,Gorgon City,Saving My Life,Future House,42
,R3HAB,Don't Give Up On Me Now,Future House,42
,David Guetta,Pepas,Future Rave,42
2016,Cartoon,C U Again,*Dancefloor Drum & Bass,42
2021,NOTION,FOUND LOVE,2-Step,42
2023,Bou,Closer,Drum & Bass,42
2021,NOTION,FOUND LOVE,Bassline,42
2020,Hr. Troels,Lambada,,42
,Oliver Koletzki,Hypnotized,Tech House,42
,Gorgon City,Saving My Life,Deep House,42
2020,Pastel,Ecstasy,,42
,BAYNK,Water,-,42
,Peking Duk,Fake Magic,Nu-Disco,42
,Joel Corry,The Parade,Tech House,42
,OMFG,I Love You,Glitch Hop,42
,Lucas & Steve,Another Life,Festival Progressive House,42
,Axwell,Resurrection,Festival Progressive House,42
,Ashworth,Treat You Better,Tropical House,42
,ZHU,Good Life,,42
,INNA,Amazing,Romanian Popcorn,42
,Tiësto,Good Things Fall Apart,Festival Progressive House,42
,Hippie Sabotage,Different,,42
,Ashworth,Treat You Better,Moombahton,42
,Infected Mushroom,Becoming Insane,Full-On Psytrance,42
,Avicii,So Much Better,Tropical House,42
,Lox Chatterbox,Superlife,,42
,Teminite,Highscore,Moombahcore,42
,Bhaskar,Manhã De Sol,,42
,Major Lazer,Make It Hot,,42
,Sigma,Glitterball,Liquid Drum & Bass,42
,S3RL,Mtc,UK Hardcore,42
,Dillon Francis,Burn Up The Dance,Moombahton,42
,Alvaro Soler,Solo Para Ti,Tropical House,42
,TheFatRat,The Calling,Glitch Hop,42
2021,Wasback,Just Dance,Slap House,42
2018,Seeb,Delicate,Tropical House,42
2018,MIKOLAS,Lie To Me,Electro Swing,42
2018,Sefa,Muzika,Uptempo Hardcore,42
2018,Sefa,Muzika,Frenchcore,42
,GASHI,Safety 2020,,42
,S3RL,Mtc,Hands Up,42
,Ofenbach,Rock It,,42
,Tritonal,Hung Up,-,42
,Jungle,The Heat,-,42
2012,Feint,Snake Eyes,Dancefloor Drum & Bass,42
,Dimitri Vegas & Like Mike,Body Talk (Mammoth),Big Room House,41
,Alan Walker,Lonely,Midtempo Bass,41
,Tiësto,Party Time,Big Room House,41
,Dimitri Vegas & Like Mike,Feel Your Love,Slap House,41
,Tungevaag & Raaban,Wolf,-,41
2021,LUNAX,Drunk In Love,*Big Room Trance,41
,Galantis,Gold Dust,Electro House,41
,ODESZA,Loyal,Trap,41
,R3HAB,Fuego,Slap House,41
,Frank Walker,Not Ok,Festival Progressive House,41
2020,Deep Chills,Every Breath You Take,*Brazilian Bass,41
,Gryffin,OMG,Future Bass,41
,Nathan Dawe,Way Too Long,2-Step,41
,Bhavi,Piso,-,41
,Otto Knows,Din Tid Kommer,,41
,Skrillex,Midnight Hour,Tech House,41
,Purple Disco Machine,Dished (Make Stripper),Nu-Disco,41
,Flo Rida,In The Ayer,Electro,41
,Redfoo,Let's Get Ridiculous,Melbourne Bounce,41
,Galantis,Gold Dust,Festival Progressive House,41
,SLANDER,Superhuman,Future Bass,41
,Kygo,Epsilon,Festival Progressive House,41
,Jim Yosef,Firefly,Festival Progressive House,41
,Jax Jones,Say So,Garage House,41
,Glockenbach,Dirty Dancing,,41
,Chase & Status,No Problem,,41
,ODESZA,Boy,Future Bass,41
,Skrillex,Holdin' On,Drumstep,41
2021,Sickmode,TOO COLD,Rawstyle,41
,Mura Masa,1 Night,Future Bass,41
,Itro,Cloud 9,Festival Progressive House,41
,Darius & Finlay,Mein Kleines Herz (Bam Bam),Hands Up,41
,Darius & Finlay,Mein Kleines Herz (Bam Bam),Hardstyle,41
,Matoma,Lonely,Trap*,41
,Drake,Overdrive,Afro House,41
,Satin Jackets,Northern Lights,,41
,Mura Masa,1 Night,Tropical House,41
,Borgore,Decisions,Brostep,41
2014,TeddyLoid,ME!ME!ME!,Electro House,41
,Loud Luxury,Sunroof,-,41
,Tungevaag,Peru,Festival Progressive House,41
,KVSH,Be Someone,,41
,Bakermat,Don't Want You Back,Diva House,41
,Drake,Overdrive,Deep House,41
,Hayden James,Better Together,Deep House,41
,Tchami,After Life,Future House,41
,Neelix,Waterfall,,41
,R3HAB,One Kiss,,41
,Trinix,Beautiful Day (Thank You For Sunshine),,41
,Skrillex,Holdin' On,Dancefloor Drum & Bass,41
,Skrillex,Ease My Mind,Brostep,41
,Yellow Claw,Both Of Us,Future Bass,41
,KREAM,Go Somewhere,,41
,Tiësto,Malibu,,41
2016,Elephante,Catching On,*Future Bass,41
,Alvaro,Watching You,Future Bass,41
2020,Sub Sonik,All The Things She Said 2020,,41
,Lindsey Stirling,Elements,Brostep,41
2022,The Chainsmokers,The Fall,Stutter House,41
,The Living Tombstone,Alastor's Game,Electro Swing,41
2020,Deep Chills,Every Breath You Take,*Tropical House,41
,Marshmello,Proud,Future Bass,41
,Skrillex,Midnight Hour,Bass House,41
,R3HAB,Happy Now,Slap House,41
,Gryffin,Cry,Future Bass,41
2016,Dr. Peacock,Trip To Ireland,Frenchcore,41
,Skrillex,The Devil's Den,Complextro,41
,Galwaro,Supernova,,41
,VIZE,Dolly Song (Devil's Cup),Slap House,40
,KHEA,Se Motiva,,40
,VIZE,Ghost Town,Vocal Trance,40
,BAYNK,Come Home,-,40
,venbee,low down,Liquid Drum & Bass,40
,CALVO,On The Move,*Future Bounce,40
,KAYTRAMINÉ,4EVA,Hip House,40
,Redfoo,Let's Get Ridiculous,Big Room House,40
,Touch Sensetive,Lay Down,,40
,Junge Junge,Make You Feel Like,,40
,Dom Dolla,Saving Up,Funky House,40
,Trinix,Sweet Dreams,,40
,NERVO,Gotta Be You,Garage House,40
,Tchami,Praise,G-House,40
2021,Yves V,Echo,Slap House,40
2021,A7S,Nirvana,Slap House,40
,Joachim Garraud,The World Is Mine,,40
,Oliver Tree,Here We Go Again,Eurodance,40
1997,Aqua,Lollipop (Candyman),Bubblegum Dance,40
,Breathe Carolina,Sweet Dreams,Future Bounce,40
,Armin van Buuren,Heading Up High,Festival Progressive House,40
,ARTY,Those Eyes,Nu-Disco,40
,Gryffin,Cry,Melodic Dubstep,40
,YouNotUs,Papa,,40
,Audien,Pompeii,Festival Progressive House,40
,Disclosure,You & Me,UK Garage,40
,NERO,Guilt,Brostep,40
,NOTD,Been There Done That,Tropical House,40
,MOTi,Livin' 4 Ya,Future House,40
,Major Lazer,Don't Go Yet,Tribal House,40
,Tobu,Hope,Festival Progressive House,40
,CAZZETTE,She Wants Me Dead,Electro Swing,40
,NOTD,Been There Done That,Future Bass,40
,Tchami,Praise,Bass House,40
,VIZE,Ghost Town,Dream Trance,40
,Tribbs,Ostanti Raz Zata?czyxz Ze Mn?,,40
,Aphex Twin,Xtal,Ambient Techno,40
,Basement Jaxx,Romeo,UK Garage,40
,Don Diablo,Momentum,Future House,40
,Rudimental,Dancing Is Healing,Liquid Drum & Bass,40
,Little Sis Nora,MDMA,Slap House,40
,Deorro,Bring It Back,Melbourne Bounce,40
,Nora En Pure,Tears In Your Eyes,Tropical House,40
,Dimitri Vegas & Like Mike,Louder,Melbourne Bounce,40
,Dom Dolla,Pump The Brakes,Tech House,40
,Sound Of Legend,Sweet Dreams (Are Made Of This),Slap House,40
,R3HAB,BAD!,Slap House,40
,Jubël,Dumb,Tropical House,40
,ILLENIUM,Where'd U Go,Midtempo Bass,40
,Tiësto,Summer Nights,Future House,40
,Little Sis Nora,MDMA,Bubblegum Dance,40
,Mangoo,Eurodancer,Euro-Trance,40
,Skrillex,Fine Day Anthem,Tech House,40
,Gryffin,YOUTH,Electropop,40
,Nora En Pure,Tears In Your Eyes,Deep House,40
,Galantis,You,Electro House,40
,Joe Stone,Is It Really Love,Future House,40
,Deorro,Bring It Back,Big Room House,40
,Sandro Silva,Epic,Big Room House,40
,Deorro,Bring It Back,Dutch House,40
,Dom Dolla,Saving Up,French House,40
,Tungevaag,Springfield,Melbourne Bounce,40
,Galantis,You,Festival Progressive House,40
,Sofi Tukker,Sun Came Up,Progressive House,40
,Dimitri Vegas & Like Mike,Louder,Big Room House,40
,RÜFÜS DU SOL,Brighter,,39
,AFROJACK,Gone,Trap,39
,Mike Williams,Don't Hurt,Future Bounce,39
,NEFFEX,Failure,Trap,39
2021,SOMMA,Fever,,39
,Calvin Harris,Live Without Your Love,Acid House,39
,Fatboy Slim,Weapon Of Choice,Big Beat,39
,Lucas & Steve,No Diggity,Slap House,39
,Deepend,Only Love,Tropical House,39
2020,Marc Korn,You Spin Me Round (Like A Record),Slap House,39
,Calvin Harris,Live Without Your Love,House,39
,Sam Feldt,Oceans Away,,39
,Kayzo,Last Resort,Brostep,39
,Armin van Buuren,Love We Lost,Festival Progressive House,39
,Don Diablo,Save A Little Love,Future House,39
,NERO,Doomsday,,39
,David Guetta,Save My Life,Future Rave,39
,Audien,Crazy Love,Tropical House,39
,Disclosure,Waterfall,2-Step,39
,Scooter,Weekend!,Happy Hardcore,39
,Aphex Twin,Alberto Balsalm,,39
,Don Diablo,High Hopes,Electro House,39
,Tchami,Praise,G-House,39
,Elderbrook,Old Friend,,39
,Jax Jones,Yeah Yeah Yeah,Funky House,39
,Flux Pavilion,Do Or Die,Brostep,39
,R3HAB,Don't Give Up On Me,Tropical House,39
,Scooter,Weekend!,Euro-Trance,39
,TheFatRat,Close To The Sun,Tropical House,39
,Breathe Carolina,Happier,Brazilian Bass,39
,Deorro,Yee,Big Room House,39
,Scooter,Jumping All Over The World,Jumpstyle,39
,Alok,Side Effect,Slap House,39
,R3HAB,Don't Give Up On Me,Future Bounce,39
,ARTY,Sunrise,Festival Progressive House,39
,Dimitri Vegas & Like Mike,Arcade,Big Room House,39
,Scooter,Weekend!,Hard Trance,39
,Tchami,Praise,Bass House,39
,Jax Jones,Yeah Yeah Yeah,House,39
,LIZOT,Boom Boom Boom Boom,Slap House,39
,Jamie xx,Obvs,,39
,W&W,Skydance,Hands Up,39
,LUM!X,In Your Eyes,Future Bounce,39
,The Magician,Rather Be,,39
,Halsey,Hopeless,*Wonky,39
2017,The Him,Always,*Future Bass,39
,Prezioso,Drink & Shout,Big Room Trance,39
,French Kiwi Juice,Why Are There Boundaries,-,39
,Bassjackers,The Riddle,Big Room House,39
,W&W,Dragostea Din Tei,UK Hardcore,39
2017,Hot Shade,Better,,39
2016,Heuse,Pill,Future Bass,39
2014,Mike Mago,Outlines,Future House,39
,AFROJACK,Gone,Future Bass,39
,Calvin Harris,Live Without Your Love,Tech House,39
2019,Jamie Jones,Enough To Believe,,39
,NEFFEX,Light It Up,Trap,39
,Disclosure,Streets,Deep House,39
,Eiffel 65,Move Your Body,Italo Dance,39
,Purple Disco Machine,About Damn Time,Nu-Disco,39
,Mike Williams,Don't Hurt,Future House,39
,Kasbo,Found You,Future Bass,39
,Mako,Smoke Filled Room,Tropical House,39
,Zeds Dead,Frontlines,Future Bass,39
2020,Matvey Emerson,Say My Name,,39
2019,Y.V.E. 48,All Night Long,,39
,Lindsey Stirling,Shadows,Electro House,39
,Hailee Steinfeld,Digital Love,Tropical House,39
,Matisse & Sadko,Dreamer,,39
,Skrillex,All Is Fair In Love & Brostep,Brostep,39
,W&W,Skydance,Euphoric Hardstyle,39
,The Prodigy,No Good (Start The Dance),Breakbeat Hardcore,39
,Matoma,Losing It Over You,,39
,Edward Maya,This Is My Life,Romanian Popcorn,39
,Zeds Dead,Frontlines,Trap,39
,Kris Kross Amsterdam,Adrenaline,,39
,Oliver Heldens,Set Me Free,Future House,39
,David Guetta,Save My Life,Big Room House,39
,Dimitri Vangelis & Wyman,Coming Home,Festival Progressive House,38
,Matoma,Staying Up,Tropical House,38
,Paul Elstak,Turbo,Happy Hardcore,38
,The Sunstroke Project,Hey Mamma,Tropical House,38
,Kayzo,Wake Up,Brostep,38
,Jennifer Lopez,Baila Conmigo,,38
,Torro Torro,Badman,Future House,38
2020,Paratone,Time After Time,,38
,Mike Williams,Wait For You,Future House,38
,Cat Dealers,Keep On Lovin',,38
,AlunaGeorge,Not Above Love,,38
,Lucian,Here,,38
,David Guetta,Bang My Head - Original,Festival Progressive House,38
,Dimitri Vegas & Like Mike,She Knows,Romanian Popcorn,38
,Lost Kings,Quit You,Future Bass,38
,Sunset Bros,I'm Feeling It (In The Air),Ibiza Trance,38
,KUTE,ANUBIS,House,38
,Astrix,Deep Jungle Walk,Full-On Psytrance,38
2022,puremind,Just Dance,,38
,ILLENIUM,Sideways,Melodic Dubstep,38
,CamelPhat,Siren Song,Deep House,38
,RÜFÜS DU SOL,Say A Prayer For Me,Deep House,38
,Toro y Moi,Rose Quartz,Deep House,38
,Shadow Child,Best Be Believing,,38
,MOTi,Spaceship,*Future House,38
,Gordo,Spaceman,Festival Trap,38
,KSHMR,No Regrets,Midtempo Bass,38
,Showtek,Mellow,Hardstyle,38
,R3HAB,Flashlight,Dutch House,38
,Habstrakt,Chicken Soup,Bass House,38
,RÜFÜS DU SOL,Eyes,,38
,Lucas Schreiner,All For Love,*Tropical House,38
2018,Flosstradamus,2 MUCH,Hard Trap,38
2013,Matrix & Futurebound,Control,Breakbeat,38
,The Streets,Blinded By The Lights,2-Step,38
,Lucky Luke,Drüg,,38
,The Sunstroke Project,Hey Mamma,Romanian Popcorn,38
,Da Tweekaz,On My Way,,38
,Klingande,Punga,,38
,R3HAB,Flashlight,Big Room House,38
,ATB,Don't Stop,Ibiza Trance,38
,KUTE,ANUBIS,Phonk House,38
,Röyksopp,Running To The Sea,Progressive House ,38
,Brennan Heart,Fight For Something,Euphoric Hardstyle,38
1986,Yello,Oh Yeah,EBM,38
2013,Matrix & Futurebound,Control,Drum & Bass,38
,Sam Feldt,Know You Better,Tropical House,38
,Zedd,Addicted To A Memory,Complextro,38
,Astrix,Deep Jungle Walk,Psytrance,38
,Felix Jaehn,Never Alone,Electro House,38
,Icarus,October,,38
,filous,High Hopes,,38
,Petit Biscuit,Waterfall,Tropical House,38
,Felix Cartal,Mine,Tropical House,38
,Prismo,Stronger,Future Bass,38
,twocolors,Lovefool - Remix,Slap House,38
,KSHMR,No Regrets,Electropop [EDM],38
,Peking Duk,Take Me Over,Electropop,38
,Alison Wonderland,Church,Future Bass,38
,Kayzo,Wake Up,Drumstep,38
,Martin Jensen,Sí,Melbourne Bounce,38
,Marshmello,Know Me,Jersey Club,38
,Alan Walker,Paradise,Future Bass,38
,Sound Of Legend,Maniac,,38
,Marshmello,Know Me,Bubblegum Bass,38
,R3HAB,My Pony,Slap House,38
,AFROJACK,All Night,Festival Progressive House,38
,Mike Perry,Don't Hide,*Tropical House,38
,D-Block & S-te-Fan,Harder State Of Mind,Hardstyle,38
,Cosmic Gate,Exploration Of Space,Hard Trance,38
2023,Tiësto,Mwaki,Progressive House,38
,Vintage Culture,Memories,Brazilian Bass,38
,Alok,Próximo Amor,Brazilian Bass,38
,Felix Jaehn,Never Alone,Future Bounce,38
,Sam Feldt,Know You Better,Future House,38
,Faustix,Crying In The Sun,,38
,Hardwell,Follow Me,Festival Progressive House,38
,Zedd,Lost At Sea,Festival Progressive House,38
,Normani,Checklist,,38
2015,Veorra,Run,Trap,38
,THR,Ode To Oi,Melbourne Bounce,38
,CamelPhat,Siren Song,Progressive House,38
,Big Wild,Show Me,,37
,Mr. Belt & Wezol,Finally,Future House,37
,Bakermat,Uitzicht,,37
,RÜFÜS DU SOL,Alive,Progressive Breaks,37
,D-Block & S-te-Fan,Feel It!,Rawphoric,37
,Ashworth,Cold,,37
,The Chainsmokers,Something Just Like This - Tokyo Remix,Future Bass,37
,Gryffin,Talking Body,,37
,ILLENIUM,Story Of My Life,Brostep,37
,Jo Cohen,We Are,Trap,37
,Brooks,Boomerang,Future Bounce,37
,D-Block & S-te-Fan,Darkest Hour (The Clock),Rawphoric,37
,Jack Ü,Dirty Vibe,Twerk,37
,Netsky,Everyday,Drumstep,37
,Bakermat,Teach Me,,37
,Jonas Blue,Keeping Your Head Up,,37
,Martin Garrix,Fire,Progressive House,37
,Jonas Blue,Mistakes,Future House,37
2021,ILURO,Say It Right,,37
,R3HAB,The Wave,Future Bass,37
,TheFatRat,No No No,Future Bass,37
,DVBBS,LA LA LAND,Trap,37
,Three 'N One,Café Del Mar,Ibiza Trance,37
,Alok,That's My Way,Brazilian Bass,37
,Louis The Child,Shake Something,Future Bass,37
,W&W,Tricky Tricky,Big Room Trance,37
,cakal,Dünya Fani,,37
,TheFatRat,No No No,Trap,37
,Oliver Heldens,Details,Future Bounce,37
,Hardwell,The Underground,Hardstyle,37
,Romassp,Angetenar,,37
,Kordhell,KILLERS FROM THE NORTHSIDE,Phonk House,37
,R3HAB,You Could Be,,37
,Caravan Palace,Jolie Coquine,Electro Swing,37
,Matt Kearney,Memorized,,37
,Tiësto,Dancing In The Moonlight,Tropical House,37
,San Holo,lift me from the ground,,37
,Sickick,Gomd,,37
,The Knocks,Brazilian Soul,,37
,Hollywood Undead,War Child,Electro House,37
,Nicky Romero,Like Home,Electro House,37
,L.B. One,My Mother Told Me,,37
,ODESZA,Meridian,Future Bass,37
,Madism,Moonlight Shadow,,37
,Jamie xx,SeeSaw,,37
,D-Block & S-te-Fan,Angels & Demons,Euphoric Hardstyle,37
,Deepend,Desire,Slap House,37
,MATTN,Children,,37
,Klingande,Punga,,37
,Unlike Pluto,JOLT,,37
,Tiësto,Faded - Tiësto's Deep House Remix,,37
,Madeon,All My Friends,Nu-Disco,37
,ILLENIUM,Lost,Melodic Dubstep,37
,D-Block & S-te-Fan,Feel It!,Euphoric Hardstyle,37
2023,Carte Blanq,33 Max Verstappen,Big Room House,37
,Dimitri Vegas & Like Mike,Untz Untz,Psytrance,37
,Tryhardninja,Follow Me,Big Room House,37
,Anthony Keyrouz,Last Melody,,37
,D-Block & S-te-Fan,Feel It!,Rawstyle,37
2018,Boombox Cartel,Moon Love,Hybrid Trap,37
2016,Koven,Getaway,Dancefloor Drum & Bass,37
2015,Disciples,They Don't Know,Deep House,37
2013,Pegboard Nerds,Razor Sharp,Moombahcore,37
,Caravan Palace,Jolie Coquine,Electro House,37
,CamelPhat,Cola - Club Mix,,37
,Knife Party,Centipede,Brostep,37
,Timmy Trumpet,Dumb,Psystyle,37
,Pendulum,Self Vs Self,Drum & Bass,37
,W&W,Tricky Tricky,Psytrance,37
,ItaloBrothers,Inside Out,Future Bass,37
,Jo Cohen,We Are,Future Bass,37
,Grey,I Miss You,Future Bass,37
,Lindsey Stirling,The Arena,-,37
,Armin van Buuren,Love We Lost,Future House,37
,Netsky,Everyday,Dancefloor Drum & Bass,37
,ODESZA,Memories That You Call,Future Bass,37
,Gianluca Vacchi,Viento,Funky House,37
,Benny Benassi,Wish You Well,,37
,PNAU,The Hard Way,Nu-Disco,37
,Maejor,I Love You (432 Hz),,36
,DJ Snake,Here Comes The Night,Future Bass,36
,INNA,Flashbacks,Slap House,36
,Alan Walker,Hello World,Tropical House,36
,Steve Aoki,Turbulence,Fidget House,36
,Shallou,Doubt,,36
,KSHMR,Memories,Big Room House,36
,Shallou,Find,-,36
,The Chemical Brothers,Wide Open,Deep House,36
2023,Alan Walker,Fire!,Slap House,36
,Chet Faker,I'm Into You,,36
,Riton,I Don't Want You,Garage House,36
,Timmy Trumpet,Mufasa,Rawstyle,36
,NEFFEX,Crown,Trap,36
2020,The Elite,Toss A Coin To Your Witcher,Rawphoric,36
,John Martin,Anywhere For You,Festival Progressive House,36
,Marshmello,Together,Trap,36
,Timmy Trumpet,Mufasa,Psytrance,36
2012,R.I.O.,Megamix,Electro House,36
,IZA,Evapora,Moombahton,36
,Porter Robinson,Language,Electro House,36
,Dimitri Vegas & Like Mike,Find Tomorrow (Ocarina),Festival Progressive House,36
,Alok,Vale Vale,Big Room Trance,36
,Madeon,The City,Complextro,36
,Yellow Claw,Fake Channel,Trap,36
,Galantis,Spaceship,Euro House,36
,ILLENIUM,Leaving,Heaven Trap,36
,Drake,Tie That Binds,Deep House,36
,filous,better off,-,36
,Jack Ü,Jungle Bae,,36
,Marshmello,Together,Bubblegum Bass,36
,MOGUAI,Hold On - 2020 Edit,Tropical House,36
,bryska,Samba,Latin House,36
,Galantis,We Can Get High,Future Bass,36
,Matoma,Heart Won't Forget,,36
,Rudimental,Don't Worry Bout Me,,36
,Stileto,Super Villain,,36
,Krewella,Enjoy The Ride,Electro House,36
,Touch Sensetive,Pizza Guy,Electro House,36
,Bhaskar,Fica Tudo Bem,-,36
,W&W,Ups & Downs,Festival Progressive House,36
2022,Neptunica,The Rhythm Of The Night,-,36
,LVNDSCAPE,Ori Tali Ma,,36
,Kygo,I See You,Tropical House,36
,Lost Frequencies,Head Down,Tropical House,36
,Naughty Boy,Should've Been Me,Tropical House,36
,Tevvez,Glimmer Of Hope,Euphoric Hardstyle,36
,Marshmello,Rooftops,Trap,36
,Virginia To Vegas,Malibu,Nu-Disco,36
,Sigma,Coming Home,Liquid Drum & Bass,36
,Brooks,Scared To Be Lonely,Future Bounce,36
,Cheat Codes,I Remember,Tropical House,36
,MK,Stop This Flame,Garage House,36
,Jamie xx,Girl,,36
,Riton,I Don't Want You,Future House,36
,The Glitch Mob,RISE - Remix,Glitch Hop,36
,Major Lazer,Pon De Floor,Jungle Terror,36
,Krewella,Enjoy The Ride,Festival Progressive House,36
,Chase & Status,Liquor & Cigarettes,Jump-Up,36
,Don Diablo,Let Me Love You,Future House,36
2021,DVRST,Endless Love,Phonk House,36
,Bakermat,Gatluak,,36
,Deepend,Desire,Tropical House,36
,Timmy Trumpet,Mufasa,Psystyle,36
,The Chemical Brothers,Block Rockin' Beats,Big Beat,36
,Röyksopp,Monument,,36
,HBz,Deine Augen,,36
,Loud Luxury,I Don't Care,Tropical House,36
,Kiasmos,Blurred,Deep House,36
,Ed Marquis,Don't Stop The Music,,36
,Disclosure,BOSS,,36
,Madeon,The City,Electro House,36
,Alan Walker,Hello World,Electro House,36
,Naughty Boy,Should've Been Me,2-Step,36
,FISHER,Crowd Control,Tech House,36
,Oliver Koletzki,Bones,Deep House,36
,Don Diablo,I Got Love,-,36
,filous,Feel Good Inc.,-,36
,Alok,Vale Vale,Psytrance,36
,deadmau5,The Longest Road,Progressive House,36
,MK,Electricity,-,36
,Avicii,Freak,Tropical House,36
2023,Lucas & Steve,After Midnight,Slap House,35
,R3HAB,Peru,Slap House,35
,James Hype,Piece Of Your Heart ,,35
,Dimitri Vegas & Like Mike,Stay A While,Tropical House,35
,Throttle,September,,35
,Silent Child,Fuck You,,35
2015,LISTENBEE,Nottamun Town,*Tropical House,35
,Shallou,Older,,35
,FISHER,Wanna Go Dancin',Tech House,35
,Technotronic,Get Up (Before The Night Is Over),Hip House,35
,Alok,Tell Me Why,Brazilian Bass,35
,Aqua,Roses Are Red,Bubblegum Dance,35
,YouNotUs,Like A Punk,,35
,Jubël,On The Beach,-,35
,Felix Cartal,Get What You Give,Tropical House,35
,Marshmello,You & Me,Trap,35
,Diplo,Let You Go,,35
,Caravan Palace,Miracle,Nu-Disco,35
,Branchez,11 Hours,,35
,KVSH,Suavemente,,35
,Oliver Heldens,Lift Me Up,Future House,35
,Valentino Khan,Lick It,Bass House,35
,Alok,I Miss U,Tropical House,35
,CamelPhat,Rabbit Hole,Tech House,35
,Armin van Buuren,Ping Pong,Big Room House,35
2017,Mike Mago,Remedy,,35
,Missy Elliot,Take Ü There,Trap,35
,Gordo,PSY Or DIE,Psytrance,35
,Tiësto,Halfway There,Big Room House,35
,Dynoro,Monsters,Slap House,35
,Aqua,Roses Are Red,Euro House,35
,Armin van Buuren,Ping Pong,Acid Trance,35
,Slushii,LUV U NEED U,Bubblegum Bass,35
,Feder,Breathe,,35
,Flux Pavilion,Emotional,Future Bass,35
,Juan Magán,Muñequita Linda,-,35
,benny blanco,I Found You / Nilda's Story,Deep House,35
,Calvin Harris,Burnin,Big Room House,35
,Mike Perry,All Star,,35
,FISHER,Ya Didn't,Tech House,35
,KSHMR,Bazaar,Big Room House,35
2022,Vibe Chemistry,Balling - Remix,Drum & Bass,35
,Steve Void,POPSTAR,Hip House,35
,Alle Farben,Walk Away,,35
,KVSH,Me Gusta,-,35
,S3RL,Genre Police,Powerstomp,35
,Lucas & Steve,Letters,Festival Progressive House,35
,CamelPhat,Rabbit Hole,Progressive House,35
,DJ Antoine,Holiday,-,35
,Vintage Culture,Cali Dreams,Progressive House,35
,M-22,White Lies,Future House,35
,Slushii,LUV U NEED U,Future Bass,35
,Tungevaag & Raaban,Hey Baby,-,35
,Tiësto,Faded - Tiësto's Northern Lights Remix,,35
,Martin Garrix,Hold On & Believe,Festival Progressive House,35
,Technotronic,Get Up (Before The Night Is Over),Eurodance,35
,CID,Audio,,35
,David Guetta,One Love,Euro House,35
,Disclosure,Ultimatum,Deep House,35
2018,Neovaii,Crash,Future Bass,35
,D.O.D,Sleepless,Garage House,35
